breed,width,height
Chihuahua,333,500
Chihuahua,395,495
Chihuahua,500,298
Chihuahua,345,500
Chihuahua,322,484
Chihuahua,500,375
Chihuahua,382,384
Chihuahua,375,500
Chihuahua,300,225
Chihuahua,887,629
Chihuahua,500,375
Chihuahua,800,600
Chihuahua,375,500
Chihuahua,500,464
Chihuahua,500,375
Chihuahua,380,253
Chihuahua,299,415
Chihuahua,500,375
Chihuahua,360,351
Chihuahua,333,500
Chihuahua,480,333
Chihuahua,500,336
Chihuahua,500,333
Chihuahua,493,500
Chihuahua,450,320
Chihuahua,375,500
Chihuahua,448,336
Chihuahua,640,853
Chihuahua,640,480
Chihuahua,333,500
Chihuahua,500,333
Chihuahua,500,333
Chihuahua,366,500
Chihuahua,278,274
Chihuahua,357,238
Chihuahua,500,375
Chihuahua,391,500
Chihuahua,500,375
Chihuahua,375,500
Chihuahua,500,495
Chihuahua,300,430
Chihuahua,500,375
Chihuahua,375,500
Chihuahua,500,337
Chihuahua,500,375
Chihuahua,400,500
Chihuahua,330,251
Chihuahua,500,375
Chihuahua,500,375
Chihuahua,448,336
Chihuahua,500,375
Chihuahua,500,333
Chihuahua,500,500
Chihuahua,320,240
Chihuahua,500,333
Chihuahua,352,288
Chihuahua,500,600
Chihuahua,345,360
Chihuahua,500,333
Chihuahua,250,238
Chihuahua,360,273
Chihuahua,375,500
Chihuahua,600,607
Chihuahua,369,500
Chihuahua,500,375
Chihuahua,445,500
Chihuahua,375,500
Chihuahua,450,338
Chihuahua,500,375
Chihuahua,333,500
Chihuahua,500,375
Chihuahua,500,375
Chihuahua,500,333
Chihuahua,200,262
Chihuahua,320,319
Chihuahua,500,375
Chihuahua,200,229
Chihuahua,500,375
Chihuahua,500,375
Chihuahua,500,333
Chihuahua,500,500
Chihuahua,599,428
Chihuahua,157,211
Chihuahua,500,375
Chihuahua,500,333
Chihuahua,468,344
Chihuahua,500,333
Chihuahua,333,500
Chihuahua,359,500
Chihuahua,500,375
Chihuahua,478,500
Chihuahua,336,500
Chihuahua,640,480
Chihuahua,500,333
Chihuahua,500,333
Chihuahua,500,375
Chihuahua,351,500
Chihuahua,500,375
Chihuahua,375,500
Chihuahua,500,385
Chihuahua,500,405
Chihuahua,3264,2448
Chihuahua,500,375
Chihuahua,375,500
Chihuahua,500,333
Chihuahua,500,334
Chihuahua,239,252
Chihuahua,500,467
Chihuahua,240,206
Chihuahua,500,375
Chihuahua,500,334
Chihuahua,500,375
Chihuahua,500,375
Chihuahua,280,420
Chihuahua,500,374
Chihuahua,500,333
Chihuahua,500,375
Chihuahua,500,405
Chihuahua,500,375
Chihuahua,500,377
Chihuahua,281,500
Chihuahua,334,500
Chihuahua,360,300
Chihuahua,338,500
Chihuahua,300,225
Chihuahua,500,333
Chihuahua,250,188
Chihuahua,500,375
Chihuahua,225,168
Chihuahua,500,375
Chihuahua,223,287
Chihuahua,375,500
Chihuahua,500,375
Chihuahua,500,408
Chihuahua,500,375
Chihuahua,500,375
Chihuahua,800,534
Chihuahua,500,332
Chihuahua,400,359
Chihuahua,215,214
Chihuahua,500,353
Chihuahua,500,332
Chihuahua,332,332
Chihuahua,500,375
Chihuahua,500,375
Chihuahua,500,375
Chihuahua,500,319
Chihuahua,500,375
Chihuahua,500,375
Chihuahua,401,363
Chihuahua,416,530
Chihuahua,461,500
Japanese spaniel,500,375
Japanese spaniel,240,182
Japanese spaniel,550,413
Japanese spaniel,519,334
Japanese spaniel,260,331
Japanese spaniel,220,214
Japanese spaniel,640,480
Japanese spaniel,403,302
Japanese spaniel,210,210
Japanese spaniel,437,382
Japanese spaniel,150,103
Japanese spaniel,640,479
Japanese spaniel,600,448
Japanese spaniel,332,218
Japanese spaniel,320,240
Japanese spaniel,190,168
Japanese spaniel,125,100
Japanese spaniel,250,269
Japanese spaniel,320,343
Japanese spaniel,358,370
Japanese spaniel,216,288
Japanese spaniel,191,178
Japanese spaniel,301,271
Japanese spaniel,180,230
Japanese spaniel,500,436
Japanese spaniel,250,197
Japanese spaniel,619,495
Japanese spaniel,230,161
Japanese spaniel,300,225
Japanese spaniel,225,293
Japanese spaniel,393,425
Japanese spaniel,200,150
Japanese spaniel,500,375
Japanese spaniel,600,449
